dataset_new_id,anonymity_level,diversity_level,t_closeness
805e37,9,1,0.38095238095238093
e6ab18,7,1,0.3846153846153846
7444f1,7,1,0.3846153846153846
da668b,27,1,0.38433575677461995
844d45,1,1,0.44333333333333336
cb4bd0,15,1,0.42666666666666664
df1a1b,15,1,0.42666666666666664
ad8b3e,15,1,0.42666666666666664
376e18,15,1,0.42666666666666664
549c8c,24,2,0.32345191040843213
83ea03,15,2,0.24761904761904763
89c075,7,1,0.3846153846153846
b28155,15,1,0.42666666666666664
a1f734,27,1,0.38433575677461995
fa81a7,7,1,0.3846153846153846
4877ca,7,1,0.3846153846153846
b5aa02,2,1,0.6583333333333333
500b3a,15,1,0.42666666666666664
168b8b,15,2,0.27456140350877195
85a508,3,1,0.6224489795918368
60cf5e,22,2,0.3398402839396628
dad877,27,1,0.38433575677461995
35b270,16,1,0.41932773109243704
cb91c3,27,1,0.38433575677461995
f93e79,16,1,0.41932773109243704
2abcb2,27,1,0.38433575677461995
2c006e,15,1,0.42666666666666664
e82703,4,1,0.6060606060606061
3f425c,27,1,0.38433575677461995
76b653,15,2,0.29333333333333333
a37095,5,1,0.4153846153846154
401b27,55,2,0.17939393939393936
dec892,15,1,0.42666666666666664
e7a1fa,15,1,0.42666666666666664
0f3263,15,1,0.42666666666666664
12d6b3,4,1,0.6060606060606061
9381d1,55,2,0.17939393939393936
6559e0,27,1,0.38433575677461995
d48cb5,15,1,0.42666666666666664
c9be4f,5,1,0.4153846153846154
bfeca7,27,1,0.38433575677461995
31895a,16,1,0.41932773109243704
5fe421,55,2,0.17939393939393936
42dde5,5,1,0.4153846153846154
202bfe,15,1,0.42666666666666664
e8a49c,7,1,0.3846153846153846
3ea88b,16,1,0.41932773109243704
d4d0a1,15,1,0.42666666666666664
13cf59,3,1,0.6224489795918368
e0c4df,27,1,0.38433575677461995
3e34bc,5,1,0.4153846153846154
3d651b,3,1,0.6224489795918368
0bd4a7,2,1,0.6583333333333333
7d34a0,15,2,0.29333333333333333
5c0e96,7,1,0.3846153846153846
3d3c9f,1,1,0.38564102564102565
3f0d1f,2,1,0.6583333333333333
a8b56c,22,2,0.3398402839396628
4a6f08,55,2,0.17939393939393936
76cfaa,15,1,0.42666666666666664
f0b47d,27,2,0.18102372034956304
45ad99,16,1,0.41932773109243704
6b746d,7,1,0.3846153846153846
c286f2,2,1,0.3916666666666666
cf068a,27,2,0.18102372034956304
957f7e,7,1,0.3846153846153846
c080f8,9,1,0.38095238095238093
e12823,6,1,0.4078947368421053
bccf26,3,1,0.6224489795918368
93b8c1,27,1,0.38433575677461995
54626b,2,1,0.6583333333333333
b1646c,38,2,0.21008771929824566
74d769,15,1,0.42666666666666664
697109,27,2,0.18102372034956304
d5760d,27,1,0.38433575677461995
